# MEAN_SAMPLE_SIZE = 350000
# TOTAL_GENES = 14958
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Sst_Syndig1l_2                 14958   0.000284   0.000912     0.0111      0.48982
Sst_Th                         14958   -0.00752    -0.0239    0.00948      0.78628
Vip_Cd34_1                     14958     0.0141     0.0427     0.0119      0.11813
Vip_Cd34_2                     14958    0.00175    0.00588    0.00777      0.41073
Vip_Chat_1                     14958     0.0165     0.0467      0.013      0.10141
Vip_Chat_2                     14958    0.00701     0.0207     0.0115      0.27122
Vip_Chat_3                     14958     0.0239     0.0679     0.0119     0.021929
Vip_Chat_4                     14958     0.0119      0.033    0.00964      0.10764
Vip_Gpc3_1                     14958   -0.00707    -0.0216    0.00578      0.88926
Vip_Gpc3_2                     14958     0.0358      0.107     0.0132    0.0033333
Vip_Gpc3_3                     14958     0.0177      0.054     0.0123      0.07545
Vip_Krt12                      14958     0.0203     0.0598     0.0142     0.076717
Vip_Lect1                      14958     0.0183     0.0506     0.0101     0.034733
Vip_Mybpc1_1                   14958    0.00948      0.027     0.0126      0.22545
Vip_Mybpc1_2                   14958    0.00307    0.00948     0.0101      0.38019
Vip_Prss12_1                   14958    0.00542     0.0159     0.0102      0.29795
Vip_Prss12_2                   14958   -0.00529    -0.0155     0.0109      0.68637
Vip_Sfrp2_1                    14958     0.0109     0.0314     0.0133      0.20728
Vip_Sfrp2_2                    14958      0.011     0.0333     0.0138      0.21227
Vip_Sncg_Slc17a8               14958    -0.0045    -0.0155    0.00783      0.71745
Vip_Sncg_1                     14958    0.00384     0.0134    0.00711      0.29488
Vip_Sncg_2                     14958    0.00143    0.00428     0.0118      0.45181
Vip_Sncg_3                     14958   -0.00153   -0.00511    0.00875      0.56945
